medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2B24917466A4206A9483C2F0E2A5BFC2,9293B314AFCC98EBB0551F744AFB2E02,VTS,1,,2013-01-13 04:24:00,2013-01-13 04:44:00,1,1200,8.69,-73.971977,40.762878,-73.956207,40.821522
473F8BEE132DA75D4E0E9D0B7BC26B0F,3C505237A2F73AD08631060B95C3082B,VTS,1,,2013-01-13 04:26:00,2013-01-13 04:47:00,1,1260,7.18,-73.983803,40.743233,-73.952805,40.822514
69AA4123B3E1670F5F138F35DE08A86C,A2776B52054B7D5ABA118B1CD38C3020,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:44:00,1,480,1.40,-73.978409,40.765896,-73.98967,40.756725
2084C667B25600300BD2ADC328692E73,D8F708032B1A52287489DB7CDE8C7B26,VTS,1,,2013-01-13 04:27:00,2013-01-13 04:43:00,5,960,2.91,-74.005836,40.739502,-73.997253,40.714424
AA03819EAA79B08201ED62133675189B,48D6F34DC6718FEB7FD9488BF74F7783,VTS,1,,2013-01-13 04:34:00,2013-01-13 04:44:00,1,600,3.34,-73.992126,40.729885,-73.991096,40.696384
3112FC4E5C14054B8A5DB00037572C70,9A9D0C467594A9314F5C751F6E8BD30E,VTS,5,,2013-01-13 04:19:00,2013-01-13 04:44:00,3,1500,6.97,-73.995995,40.767231,-74.037819,40.71471
4235B84E89BCBDF56662F123DF30111B,BA3141A26DE0E38CAC144C885695F46A,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:47:00,6,180,.60,-73.986946,40.758862,-73.993729,40.762157
5E3849AF13364634FB9EDE3189D75201,28EDC0E51EB8E931098D57D31B59F012,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:43:00,2,420,1.91,-73.893707,40.747707,-73.885902,40.764706
59D95A199E9667F7291EA3F9E8072D86,112245AEF660D27E6D0A54AC60DBB641,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:45:00,1,540,2.57,-73.988068,40.748459,-73.976555,40.725475
4AE40EC201CF050890A1780662AA134D,786A3AEE2AFF4FF3A2D9ED307B415EF2,VTS,1,,2013-01-13 04:30:00,2013-01-13 04:47:00,1,1020,5.50,-73.929779,40.767326,-73.978828,40.782475
9B04FD537919FB639CAA8FE21E3BAD3A,327401DD2B20785110594AC85E3DAE1E,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:47:00,1,900,4.63,-74.000381,40.73011,-73.968925,40.785946
F286AF283836868F63442CC5A28FC43D,503268D15706836D97C9C8ABBA22E7CC,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:46:00,2,60,.20,-73.963936,40.761326,-73.96769,40.762413
B44B68A94F796D29C5063B226298A004,4BF9D113DC767EA4977F1126896B1F61,VTS,1,,2013-01-13 04:18:00,2013-01-13 04:43:00,1,1500,8.03,-74.009758,40.714073,-73.926163,40.76569
2C02AC5CD7236959C1DF87721A1E0E89,9A2C2B65C3E0826009CA885FEA3C7250,VTS,1,,2013-01-13 04:51:00,2013-01-13 04:53:00,1,120,1.06,-74.000153,40.732853,-73.991684,40.74419
